"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CORN - ACRES PLANTED  -  <b>VALUE</b>","CORN - ACRES PLANTED  -  <b>CV (%)</b>","CORN, FOR ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN $  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN $  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>"
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","67,717,000","","","","","","","","","","12,661,362,000","","4,928,681,000",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","66,200,000","","","","","","","","","","14,107,705,000","","7,131,300,000",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","76,580,000","","","","","","","","","","12,507,263,000","","8,225,764,000",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","83,398,000","","","","","","","","","","19,518,762,000","","8,875,453,000",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","80,517,000","","","","","","","","","","20,143,883,000","","7,672,130,000",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","60,207,000","","","","","","","","","","13,552,853,000","","4,174,251,000",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","81,857,000","","","","","","","","","","21,641,046,000","","8,235,101,000",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","84,097,000","","","","","","","","","","20,200,261,000","","8,118,650,000",""
"SURVEY","1980","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","84,043,000","","","","","","","","","","20,554,147,000","","6,639,396,000",""
"SURVEY","1979","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","81,394,000","","","","","","","","","","19,876,655,000","","7,928,139,000",""
"SURVEY","1978","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","81,675,000","","","","","","","","","","16,280,688,000","","7,267,927,000",""
"SURVEY","1977","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","84,328,000","","","","","","","","","","13,107,420,000","","6,505,041,000",""
"SURVEY","1976","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","84,588,000","","","","","","","","","","13,524,134,000","","6,289,169,000",""
"SURVEY","1975","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","78,719,000","","","","","","","","","","14,817,840,000","","5,840,757,000",""
"SURVEY","1974","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","77,935,000","","","","","","","","","","14,231,557,000","","4,701,402,000",""
"SURVEY","1973","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","72,253,000","","","","","","","","","","14,462,744,000","","5,670,712,000",""
"SURVEY","1972","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","67,126,000","","","","","","","","","","8,743,036,000","","5,579,832,000",""
"SURVEY","1971","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","74,179,000","","","","","","","","","","6,101,055,000","","5,646,260,000",""
"SURVEY","1970","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","66,863,000","","","","","","","","","","5,514,702,000","","4,152,243,000",""
"SURVEY","1969","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","64,264,000","","","","","","","","","","5,415,997,000","","4,687,057,000",""
"SURVEY","1968","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","65,126,000","","","","","","","","","","4,825,623,000","","4,449,542,000",""
"SURVEY","1967","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","71,156,000","","","","","","","","","","5,044,235,000","","4,860,372,000",""
"SURVEY","1966","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","66,347,000","","","","","","","","","","5,170,973,000","","4,167,608,000",""
"SURVEY","1965","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","65,171,000","","","","","","","","","","4,754,199,000","","4,102,867,000",""
"SURVEY","1964","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","65,823,000","","","","","","","","","","4,064,208,000","","3,484,253,000",""
"SURVEY","1963","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","68,771,000","","","","","","","","","","4,454,048,000","","4,019,238,000",""
"SURVEY","1962","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","65,017,000","","","","","","","","","","4,025,296,000","","3,606,311,000",""
"SURVEY","1961","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","65,919,000","","","","","","","","","","3,938,994,000","","3,597,803,000",""
"SURVEY","1960","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","81,425,000","","","","","","","","","","3,928,779,000","","3,906,949,000",""
"SURVEY","1959","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","82,742,000","","","","","","","","","","4,013,126,000","","3,824,598,000",""
"SURVEY","1958","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","73,351,000","","","","","","","","","","3,755,553,000","","3,356,205,000",""
"SURVEY","1957","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","73,180,000","","","","","","","","","","3,393,496,000","","3,045,355,000",""
"SURVEY","1956","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","77,828,000","","","","","","","","","","3,967,290,000","","3,075,336,000",""
"SURVEY","1955","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","80,932,000","","","","","","","","","","3,848,649,000","","2,872,959,000",""
"SURVEY","1954","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","82,185,000","","","","","","","","","","3,872,433,000","","2,707,913,000",""
"SURVEY","1953","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","81,574,000","","","","","","","","","","4,291,366,000","","2,881,801,000",""
"SURVEY","1952","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","82,230,000","","","","","","","","","","4,557,031,000","","2,980,793,000",""
"SURVEY","1951","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","83,275,000","","","","","","","","","","4,364,659,000","","2,628,937,000",""
"SURVEY","1950","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","82,859,000","","","","","","","","","","4,222,366,000","","2,764,071,000",""
"SURVEY","1949","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","86,738,000","","","","","","","","","","3,666,009,000","","2,946,206,000",""
"SURVEY","1948","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","85,522,000","","","","","","","","","","3,625,055,000","","3,307,038,000",""
"SURVEY","1947","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","85,038,000","","","","","","","","","","","","2,108,320,000",""
"SURVEY","1946","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","88,898,000","","","","","","","","","","","","2,916,089,000",""
"SURVEY","1945","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","89,261,000","","","","","","","","","","","","2,577,449,000",""
"SURVEY","1944","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","95,475,000","","","","","","","","","","","","2,801,612,000",""
"SURVEY","1943","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","94,341,000","","","","","","","","","","","","2,668,490,000",""
"SURVEY","1942","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","88,818,000","","","","","","","","","","","","2,801,819,000",""
"SURVEY","1941","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","86,837,000","","","","","","","","","","","","2,414,445,000",""
"SURVEY","1940","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","88,692,000","","","","","","","","","","","","2,206,882,000",""
"SURVEY","1939","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","91,639,000","","","","","","","","","","","","2,341,602,000",""
"SURVEY","1938","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","94,473,000","","","","","","","","","","","","2,300,095,000",""
"SURVEY","1937","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","97,174,000","","","","","","","","","","","","2,349,425,000",""
"SURVEY","1936","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","101,959,000","","","","","","","","","","","","1,258,673,000",""
"SURVEY","1935","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","99,974,000","","","","","","","","","","","","2,001,367,000",""
"SURVEY","1934","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","100,563,000","","","","","","","","","","","","1,146,734,000",""
"SURVEY","1933","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","109,830,000","","","","","","","","","","","","2,104,725,000",""
"SURVEY","1932","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","113,024,000","","","","","","","","","","","","2,578,685,000",""
"SURVEY","1931","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","109,364,000","","","","","","","","","","","","2,229,903,000",""
"SURVEY","1930","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","103,915,000","","","","","","","","","","","","1,757,297,000",""
"SURVEY","1929","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","99,130,000","","","","","","","","","","","","2,135,038,000",""
"SURVEY","1928","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","100,399,000","","","","","","","","","","","","2,260,990,000",""
"SURVEY","1927","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","98,460,000","","","","","","","","","","","","2,218,189,000",""
"SURVEY","1926","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","99,660,000","","","","","","","","","","","","2,140,207,000",""
"SURVEY","1925","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,382,288,000",""
"SURVEY","1924","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","1,860,112,000",""
"SURVEY","1923","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,429,551,000",""
"SURVEY","1922","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,229,496,000",""
"SURVEY","1921","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,556,924,000",""
"SURVEY","1920","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,695,085,000",""
"SURVEY","1919","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,341,870,000",""
"SURVEY","1918","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,441,249,000",""
"SURVEY","1917","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,908,242,000",""
"SURVEY","1916","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,425,206,000",""
"SURVEY","1915","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,829,044,000",""
"SURVEY","1914","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,523,750,000",""
"SURVEY","1913","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,272,540,000",""
"SURVEY","1912","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,947,842,000",""
"SURVEY","1911","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,474,635,000",""
"SURVEY","1910","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,852,794,000",""
"SURVEY","1909","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,611,157,000",""
"SURVEY","1908","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,566,742,000",""
"SURVEY","1907","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,613,797,000",""
"SURVEY","1906","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","3,032,910,000",""
"SURVEY","1905","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,954,148,000",""
"SURVEY","1904","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,686,624,000",""
"SURVEY","1903","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,515,093,000",""
"SURVEY","1902","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,773,954,000",""
"SURVEY","1901","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","1,715,752,000",""
"SURVEY","1900","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,661,978,000",""
"SURVEY","1899","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,645,796,000",""
"SURVEY","1898","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","2,351,323,000",""
